Customer ID,Age,Gender,Location,Product Purchased,Purchase Amount,Date of Purchase,Customer Rating,Customer Segment,Num Purchases Last Year,Total Spend Last Year,Preferred Payment Method,Acquisition Channel,Last Interaction Date,Last Interaction Type
17,20,Male,City_A,Product_4,187.08,2023-04-19,5,Gold,5,2097.05,Credit Card,In-Store,2023-05-20,Inquiry
18,39,Male,City_C,Product_5,779.97,2023-04-11,5,Gold,7,651.9,Online Transfer,Referral,2022-09-13,Inquiry
19,19,Male,City_B,Product_3,837.26,2022-11-23,3,Silver,18,7015.65,Credit Card,In-Store,2022-08-15,Complaint
20,41,Male,City_C,Product_1,546.7,2022-10-04,3,Bronze,8,691.9,Cash,In-Store,2022-11-18,Inquiry
21,61,Male,City_B,Product_5,912.98,2023-07-26,3,Silver,13,1261.55,Credit Card,Online Ad,2023-06-20,Inquiry
22,47,Male,City_E,Product_5,69.33,2022-10-25,3,Bronze,15,1847.12,Cash,Online Ad,2022-11-27,Complaint
23,55,Female,City_A,Product_4,265.09,2023-04-29,1,Gold,5,1800.59,Online Transfer,Referral,2022-10-02,Complaint
24,19,Female,City_E,Product_3,784.29,2022-09-10,3,Bronze,15,3342.31,Cash,In-Store,2023-04-16,Feedback
25,38,Male,City_B,Product_2,959.44,2022-08-14,4,Bronze,2,859.22,Cash,In-Store,2022-08-21,Inquiry
26,50,Female,City_A,Product_3,962.55,2022-11-02,3,Silver,5,1928.46,Online Transfer,Online Ad,2023-03-16,Complaint
27,29,Male,City_A,Product_1,50.38,2023-01-06,1,Bronze,3,1186.12,Online Transfer,Referral,2023-07-23,Inquiry
28,39,Female,City_E,Product_2,650.27,2023-04-18,5,Bronze,4,1875.59,Credit Card,Referral,2023-01-19,Feedback
29,61,Male,City_A,Product_3,75.96,2022-12-22,5,Gold,6,1905.13,Credit Card,Referral,2023-02-16,Complaint
30,42,Male,City_B,Product_1,715.31,2022-10-11,5,Bronze,15,6509.29,Cash,Online Ad,2022-09-02,Complaint
31,66,Female,City_B,Product_5,779.64,2023-03-19,1,Silver,4,661.48,Credit Card,Online Ad,2023-05-17,Feedback
32,44,Male,City_E,Product_5,864.78,2023-08-05,3,Gold,4,1852.25,Online Transfer,Referral,2022-08-18,Inquiry
33,59,Female,City_C,Product_5,552.97,2023-05-19,2,Bronze,2,945.4,Online Transfer,Online Ad,2022-12-09,Inquiry
34,45,Male,City_B,Product_5,857.61,2022-08-16,5,Bronze,15,3385.67,Credit Card,In-Store,2022-12-20,Feedback
35,33,Male,City_B,Product_2,927.65,2023-01-04,5,Gold,16,3202.33,Online Transfer,In-Store,2023-02-06,Inquiry
36,32,Male,City_A,Product_5,556.57,2023-02-15,2,Bronze,14,2579.39,Cash,In-Store,2022-11-21,Complaint
37,64,Male,City_A,Product_2,547.91,2023-03-19,3,Gold,8,2130.88,Credit Card,Referral,2023-03-05,Inquiry
38,68,Female,City_B,Product_2,530.56,2023-05-21,5,Gold,19,6609.96,Credit Card,Online Ad,2023-03-11,Feedback
39,61,Male,City_E,Product_3,529.4,2023-04-20,3,Silver,13,3614.2,Credit Card,Online Ad,2022-09-08,Feedback
40,69,Female,City_C,Product_5,785.81,2023-02-17,4,Bronze,5,1437.03,Credit Card,Referral,2022-08-12,Feedback
41,20,Female,City_A,Product_4,113.96,2023-06-17,2,Gold,18,1390.52,Credit Card,In-Store,2023-01-15,Feedback
42,54,Male,City_A,Product_5,479.87,2023-06-22,1,Gold,16,7259.18,Credit Card,Referral,2023-01-06,Complaint
43,68,Male,City_C,Product_4,547.79,2023-01-26,3,Silver,14,1798.82,Credit Card,Referral,2023-04-10,Feedback
44,24,Female,City_A,Product_5,253.73,2023-06-20,2,Silver,5,1874.5,Credit Card,Referral,2023-03-03,Inquiry
45,38,Female,City_E,Product_2,564.21,2023-02-06,2,Silver,15,2794.6,Online Transfer,Referral,2022-09-01,Feedback
46,26,Male,City_A,Product_5,482.88,2023-02-13,2,Gold,19,4968.62,Online Transfer,Referral,2023-02-22,Inquiry
47,56,Female,City_A,Product_5,750.7,2022-10-03,1,Gold,4,212.79,Credit Card,Online Ad,2023-04-23,Feedback
48,35,Female,City_B,Product_5,385.63,2023-03-26,5,Silver,7,2921.51,Credit Card,Referral,2023-04-07,Complaint
49,21,Female,City_E,Product_5,952.28,2023-07-17,4,Silver,17,8201.67,Cash,In-Store,2022-12-15,Feedback
50,42,Male,City_E,Product_3,443.04,2022-12-16,5,Silver,12,1266.31,Online Transfer,Referral,2023-05-24,Complaint
51,31,Female,City_B,Product_3,649.35,2022-11-07,3,Silver,19,2595.35,Online Transfer,Referral,2022-08-13,Feedback
52,67,Female,City_D,Product_2,260.6,2023-06-06,2,Gold,15,1238.22,Online Transfer,In-Store,2023-05-21,Inquiry
53,26,Female,City_C,Product_2,704.22,2023-01-27,5,Silver,9,769.62,Online Transfer,Referral,2023-07-21,Inquiry
54,43,Female,City_E,Product_4,538.16,2023-06-29,1,Gold,4,1188.68,Cash,Online Ad,2023-06-29,Inquiry
55,19,Male,City_D,Product_2,375.12,2022-10-30,1,Silver,5,618.56,Online Transfer,In-Store,2023-07-09,Inquiry
56,37,Male,City_C,Product_3,380.51,2023-03-11,4,Bronze,3,448.98,Credit Card,Online Ad,2022-10-12,Inquiry
57,45,Female,City_E,Product_2,406.68,2022-09-21,5,Bronze,2,506.24,Online Transfer,Online Ad,2023-06-09,Feedback
58,64,Female,City_A,Product_4,465.58,2022-09-26,1,Gold,15,3994.52,Cash,In-Store,2023-05-25,Inquiry
59,24,Female,City_E,Product_4,285.27,2023-02-04,1,Silver,12,2153.34,Online Transfer,In-Store,2023-06-14,Complaint
60,61,Male,City_C,Product_3,313.53,2022-10-17,4,Silver,15,7374.52,Cash,Referral,2022-12-22,Complaint
61,25,Male,City_D,Product_2,960.44,2023-05-02,3,Silver,17,1716.91,Online Transfer,In-Store,2023-06-05,Complaint
62,64,Female,City_A,Product_4,336.2,2022-08-13,5,Silver,13,1770.1,Online Transfer,Referral,2023-05-24,Feedback
63,52,Female,City_C,Product_2,645.56,2023-07-04,3,Bronze,10,2431.28,Cash,Online Ad,2023-07-02,Inquiry
64,31,Male,City_C,Product_2,378.07,2023-07-16,2,Gold,2,361.08,Credit Card,Referral,2023-03-17,Complaint
65,34,Female,City_E,Product_3,820.3,2022-09-04,3,Bronze,9,3823.45,Credit Card,In-Store,2023-02-19,Complaint
66,53,Female,City_B,Product_3,711.15,2023-04-14,1,Bronze,13,1684.53,Cash,In-Store,2022-08-21,Complaint
67,67,Male,City_B,Product_2,361.82,2023-03-13,1,Silver,18,6687.32,Cash,Referral,2023-02-26,Inquiry
68,57,Male,City_A,Product_5,730.79,2023-06-29,3,Gold,7,746.5,Credit Card,Referral,2022-10-16,Feedback
69,21,Male,City_C,Product_5,768.91,2023-04-11,3,Gold,15,2558.51,Online Transfer,In-Store,2023-04-08,Inquiry
70,19,Male,City_D,Product_1,181.38,2023-06-18,2,Bronze,16,6127.61,Cash,In-Store,2022-12-05,Inquiry
71,23,Male,City_A,Product_1,599.24,2023-01-26,2,Bronze,5,449.99,Online Transfer,Referral,2022-12-29,Inquiry
72,59,Female,City_A,Product_1,817.37,2023-03-19,5,Silver,12,5501.39,Credit Card,In-Store,2023-01-11,Complaint
73,21,Male,City_E,Product_3,97.83,2022-12-19,1,Gold,5,973.16,Cash,Online Ad,2023-06-07,Inquiry
74,46,Male,City_D,Product_2,532.47,2022-09-17,5,Bronze,18,3605.05,Online Transfer,Referral,2022-09-13,Feedback
75,35,Male,City_C,Product_4,847.84,2023-02-03,5,Bronze,12,1865.95,Credit Card,Referral,2022-08-31,Inquiry
76,43,Male,City_C,Product_2,955.12,2023-05-17,3,Bronze,10,4421.43,Cash,Online Ad,2022-08-30,Feedback
77,61,Male,City_C,Product_2,673.19,2023-01-31,1,Silver,19,6421.37,Cash,Online Ad,2022-10-30,Complaint
78,51,Male,City_A,Product_1,361.42,2023-02-08,5,Silver,12,838.38,Credit Card,Online Ad,2022-10-12,Complaint
79,27,Female,City_E,Product_2,624.6,2023-04-23,3,Gold,8,3695.8,Credit Card,Online Ad,2023-03-07,Feedback
80,53,Male,City_A,Product_1,76.0,2022-08-30,4,Silver,1,469.21,Cash,Referral,2022-08-10,Feedback
81,31,Female,City_B,Product_2,483.07,2023-03-25,2,Gold,14,4166.8,Credit Card,Online Ad,2023-04-23,Feedback
82,48,Female,City_B,Product_4,740.96,2022-08-14,3,Bronze,10,1917.35,Cash,In-Store,2022-12-09,Inquiry
83,65,Male,City_C,Product_5,84.4,2022-08-24,3,Gold,2,244.7,Credit Card,Online Ad,2022-09-07,Complaint
84,32,Male,City_E,Product_5,623.07,2022-09-11,5,Gold,17,2848.55,Credit Card,Online Ad,2023-07-22,Complaint
85,25,Female,City_C,Product_3,608.91,2023-07-03,3,Bronze,18,7998.9,Cash,Online Ad,2023-02-03,Complaint
86,31,Female,City_C,Product_4,230.19,2022-10-01,3,Bronze,10,1428.71,Online Transfer,Referral,2023-05-20,Feedback
87,40,Female,City_A,Product_2,590.76,2022-09-17,5,Silver,3,351.61,Cash,Online Ad,2023-01-20,Complaint
88,57,Male,City_C,Product_4,438.98,2023-05-13,3,Bronze,9,1775.83,Credit Card,Referral,2023-05-02,Feedback
89,38,Female,City_C,Product_2,504.89,2022-11-08,2,Bronze,19,3527.85,Credit Card,In-Store,2023-02-13,Complaint
90,33,Male,City_E,Product_4,359.14,2023-04-05,1,Bronze,9,3446.95,Cash,Referral,2023-07-06,Inquiry
91,62,Male,City_E,Product_4,819.83,2023-05-17,5,Bronze,11,2451.33,Online Transfer,Referral,2023-07-14,Complaint
92,35,Female,City_E,Product_5,397.37,2022-12-15,4,Silver,11,1557.33,Cash,Referral,2023-07-23,Feedback
93,64,Male,City_C,Product_4,801.27,2023-01-26,4,Bronze,7,803.63,Online Transfer,Referral,2023-04-01,Inquiry
94,41,Male,City_E,Product_3,122.74,2023-03-23,1,Gold,12,3277.03,Cash,Online Ad,2023-01-21,Feedback
95,43,Female,City_E,Product_2,314.65,2022-09-15,2,Gold,6,2858.65,Cash,In-Store,2023-05-05,Feedback
96,42,Female,City_D,Product_1,432.54,2022-08-21,3,Bronze,4,946.46,Credit Card,Referral,2022-11-27,Feedback
97,62,Male,City_D,Product_4,434.35,2022-10-27,4,Gold,5,332.76,Credit Card,Online Ad,2022-12-14,Inquiry
98,58,Female,City_B,Product_1,469.23,2023-04-18,3,Silver,6,1038.74,Online Transfer,Referral,2022-09-05,Feedback
99,46,Male,City_A,Product_5,669.77,2022-08-23,2,Bronze,1,197.78,Cash,Online Ad,2023-01-17,Inquiry
100,32,Female,City_A,Product_1,595.35,2023-02-23,5,Bronze,6,1972.46,Cash,Online Ad,2022-08-10,Feedback
101,62,Female,City_E,Product_3,545.0,2023-07-11,1,Silver,19,8368.32,Credit Card,Referral,2023-02-24,Inquiry
102,18,Female,City_B,Product_3,845.79,2023-04-13,2,Bronze,16,7742.09,Cash,Online Ad,2022-12-21,Inquiry
103,42,Female,City_B,Product_5,236.36,2023-07-23,4,Bronze,3,467.35,Online Transfer,In-Store,2023-06-01,Complaint
104,24,Male,City_D,Product_3,867.23,2023-02-28,4,Silver,16,6946.38,Cash,In-Store,2023-02-22,Inquiry
105,26,Female,City_B,Product_2,820.86,2023-01-15,1,Gold,16,1484.52,Cash,In-Store,2022-08-11,Complaint
106,41,Male,City_C,Product_3,235.91,2023-03-24,5,Bronze,13,3947.12,Online Transfer,Online Ad,2023-01-04,Inquiry
107,18,Male,City_E,Product_4,642.86,2023-07-06,2,Bronze,12,2467.25,Cash,Referral,2022-09-05,Complaint
108,61,Female,City_C,Product_3,262.11,2023-04-22,4,Bronze,17,1781.85,Online Transfer,Referral,2023-02-28,Complaint
109,25,Female,City_A,Product_2,945.68,2022-10-22,4,Gold,8,1100.76,Online Transfer,Referral,2022-10-22,Complaint
110,41,Female,City_D,Product_5,518.3,2023-02-28,5,Silver,2,341.82,Cash,Online Ad,2022-08-15,Feedback
111,28,Female,City_C,Product_3,243.54,2023-04-22,4,Silver,7,2608.96,Credit Card,Online Ad,2023-05-06,Complaint
112,68,Female,City_E,Product_2,654.3,2022-09-07,4,Bronze,19,9419.58,Cash,In-Store,2023-08-05,Inquiry
113,34,Male,City_C,Product_4,721.85,2022-11-26,3,Silver,4,257.63,Online Transfer,Referral,2023-05-16,Inquiry
114,25,Female,City_C,Product_1,624.72,2023-01-18,1,Gold,13,5324.4,Online Transfer,Online Ad,2023-04-02,Feedback
115,52,Male,City_B,Product_1,279.6,2022-09-13,3,Gold,6,1680.64,Online Transfer,Online Ad,2023-01-08,Complaint
116,52,Male,City_D,Product_5,748.45,2022-12-17,4,Bronze,13,1329.34,Online Transfer,Referral,2023-06-22,Inquiry
117,50,Male,City_A,Product_5,933.08,2023-05-27,5,Silver,19,2935.9,Online Transfer,Referral,2022-12-02,Inquiry
118,22,Male,City_E,Product_1,954.53,2023-03-26,1,Gold,1,241.62,Online Transfer,Referral,2023-02-18,Complaint
119,59,Female,City_E,Product_1,695.51,2023-05-29,2,Gold,10,3759.34,Credit Card,Online Ad,2023-05-25,Inquiry
120,56,Female,City_A,Product_5,848.23,2023-04-04,2,Gold,19,3009.27,Online Transfer,In-Store,2023-07-18,Inquiry
121,58,Male,City_E,Product_1,979.7,2022-10-25,5,Gold,5,1689.12,Online Transfer,In-Store,2023-05-29,Feedback
122,45,Male,City_B,Product_3,91.21,2022-11-06,2,Silver,3,519.36,Online Transfer,Online Ad,2023-04-08,Feedback
123,24,Female,City_C,Product_2,503.14,2023-03-27,3,Bronze,16,6736.63,Credit Card,Referral,2022-11-19,Feedback
124,26,Male,City_B,Product_5,326.84,2022-10-13,4,Silver,18,3376.43,Credit Card,Online Ad,2022-10-03,Complaint
125,25,Female,City_B,Product_2,501.05,2023-01-01,2,Bronze,8,3360.98,Cash,Referral,2022-11-28,Feedback
126,29,Male,City_B,Product_4,921.07,2022-10-14,3,Gold,8,1558.08,Credit Card,Online Ad,2023-03-19,Feedback
127,51,Female,City_A,Product_4,984.22,2023-01-16,1,Gold,10,2968.45,Credit Card,In-Store,2023-04-27,Complaint
128,50,Male,City_D,Product_3,909.68,2023-02-04,5,Gold,13,5276.81,Online Transfer,Referral,2023-05-08,Inquiry
129,65,Male,City_A,Product_4,237.26,2023-04-18,1,Bronze,12,1119.37,Credit Card,Online Ad,2023-01-07,Inquiry
130,40,Male,City_A,Product_5,812.72,2023-05-30,1,Silver,12,1503.82,Online Transfer,In-Store,2023-07-20,Complaint
131,41,Female,City_B,Product_3,826.77,2022-11-21,3,Gold,5,2402.36,Online Transfer,Referral,2023-08-04,Feedback
132,54,Female,City_D,Product_3,600.41,2022-11-29,2,Bronze,8,1053.27,Cash,Referral,2022-09-19,Inquiry
133,52,Female,City_A,Product_5,729.15,2023-06-23,3,Gold,12,5444.87,Credit Card,Referral,2023-02-05,Inquiry
134,61,Male,City_D,Product_1,910.09,2023-07-15,2,Bronze,15,4219.22,Online Transfer,Referral,2022-08-09,Inquiry
135,57,Male,City_B,Product_2,994.46,2023-06-13,4,Silver,19,1878.09,Online Transfer,Referral,2023-02-14,Feedback
136,39,Male,City_A,Product_5,88.07,2023-05-22,5,Gold,4,1058.52,Online Transfer,Online Ad,2022-09-28,Feedback
137,44,Male,City_D,Product_1,294.3,2022-09-21,4,Gold,18,5440.06,Credit Card,In-Store,2023-01-30,Complaint
138,52,Male,City_E,Product_1,937.85,2023-05-19,2,Silver,19,2270.85,Cash,Online Ad,2023-02-17,Inquiry
139,18,Male,City_A,Product_4,362.69,2022-08-25,2,Gold,15,5911.79,Credit Card,In-Store,2023-08-07,Complaint
140,52,Female,City_A,Product_3,151.16,2023-01-04,1,Silver,2,204.93,Online Transfer,In-Store,2023-06-16,Complaint
141,54,Female,City_A,Product_3,347.6,2022-10-07,2,Silver,3,289.13,Cash,Referral,2022-12-04,Complaint
142,64,Female,City_D,Product_4,542.57,2023-07-07,1,Gold,11,3387.69,Credit Card,Online Ad,2022-11-25,Complaint
143,31,Male,City_C,Product_4,416.79,2023-01-23,1,Bronze,13,5527.49,Cash,Online Ad,2023-04-27,Complaint
144,20,Female,City_A,Product_3,798.89,2023-01-25,5,Silver,11,3592.54,Online Transfer,Online Ad,2023-04-22,Feedback
145,18,Male,City_E,Product_5,630.48,2022-10-07,2,Gold,15,1063.39,Cash,Online Ad,2023-05-25,Inquiry
146,22,Male,City_E,Product_5,463.16,2022-12-12,4,Silver,9,2221.13,Cash,Online Ad,2023-02-19,Feedback
147,43,Female,City_B,Product_5,997.4,2022-11-11,3,Bronze,3,1124.71,Credit Card,In-Store,2022-08-25,Inquiry
148,31,Male,City_C,Product_5,891.64,2023-04-02,1,Bronze,7,1180.34,Online Transfer,In-Store,2022-09-05,Complaint
149,56,Male,City_C,Product_4,869.14,2022-10-29,3,Silver,15,5451.32,Credit Card,Online Ad,2022-11-23,Inquiry
150,44,Male,City_D,Product_2,588.89,2023-08-03,1,Bronze,18,4091.6,Cash,In-Store,2023-03-21,Feedback
151,26,Male,City_B,Product_2,790.93,2022-08-25,4,Silver,2,969.42,Online Transfer,In-Store,2022-11-10,Feedback
152,32,Male,City_D,Product_3,369.09,2023-06-11,1,Bronze,2,535.68,Cash,In-Store,2023-01-20,Complaint
153,32,Female,City_B,Product_2,363.36,2022-08-24,5,Gold,10,4323.66,Online Transfer,Online Ad,2022-11-11,Feedback
154,43,Female,City_C,Product_5,897.45,2022-11-07,1,Bronze,16,3309.5,Credit Card,Referral,2022-10-10,Inquiry
155,59,Male,City_D,Product_4,616.99,2023-03-25,2,Bronze,2,765.88,Cash,Referral,2022-09-29,Inquiry
156,30,Male,City_B,Product_5,376.41,2022-09-14,5,Silver,8,1574.87,Online Transfer,Referral,2022-09-29,Inquiry
157,68,Female,City_C,Product_1,853.06,2023-02-15,1,Gold,8,1424.76,Online Transfer,Online Ad,2023-04-30,Feedback
158,49,Female,City_C,Product_4,470.43,2023-06-12,1,Gold,19,2450.44,Cash,Online Ad,2022-12-29,Feedback
159,56,Female,City_A,Product_1,429.98,2023-03-11,3,Bronze,8,2705.76,Online Transfer,In-Store,2023-07-19,Complaint
160,66,Male,City_D,Product_1,74.86,2022-12-29,1,Gold,9,2389.03,Credit Card,Referral,2022-12-19,Feedback
161,69,Female,City_A,Product_3,695.05,2023-05-20,5,Gold,19,4033.88,Online Transfer,Referral,2022-10-10,Feedback
162,49,Female,City_C,Product_1,556.01,2022-12-19,1,Bronze,16,1199.33,Online Transfer,Online Ad,2022-11-01,Complaint
163,21,Male,City_D,Product_2,346.24,2023-08-07,3,Gold,6,2080.03,Online Transfer,Referral,2023-03-13,Complaint
164,47,Male,City_D,Product_2,182.34,2023-03-27,4,Bronze,3,1075.57,Online Transfer,Referral,2022-11-06,Inquiry
165,54,Female,City_E,Product_1,223.29,2022-11-25,3,Gold,9,1746.33,Online Transfer,Referral,2022-12-18,Complaint
166,40,Male,City_B,Product_3,263.62,2023-05-09,3,Gold,9,3120.52,Online Transfer,Online Ad,2023-07-17,Inquiry
167,56,Female,City_E,Product_1,871.94,2022-11-22,1,Gold,14,6245.12,Online Transfer,Online Ad,2023-03-16,Inquiry
168,62,Female,City_E,Product_4,506.6,2023-06-15,4,Silver,14,2890.78,Online Transfer,Online Ad,2023-02-19,Complaint
169,32,Male,City_C,Product_4,710.72,2022-09-22,5,Bronze,11,4112.59,Online Transfer,Online Ad,2023-07-30,Feedback
170,60,Male,City_B,Product_4,488.25,2023-03-09,5,Gold,10,4304.95,Credit Card,Online Ad,2023-01-12,Complaint
171,46,Female,City_E,Product_4,500.04,2022-09-15,2,Gold,9,2222.77,Credit Card,Referral,2022-10-11,Feedback
172,53,Male,City_E,Product_1,831.04,2022-11-22,3,Bronze,13,1550.54,Cash,Online Ad,2022-09-21,Complaint
173,30,Male,City_D,Product_5,782.6,2022-10-01,3,Bronze,5,338.31,Credit Card,In-Store,2023-07-07,Inquiry
174,49,Male,City_C,Product_5,270.53,2023-04-29,2,Bronze,18,6892.6,Online Transfer,In-Store,2022-12-09,Inquiry
175,24,Male,City_E,Product_4,644.43,2023-05-22,1,Gold,2,570.47,Online Transfer,Referral,2023-01-07,Feedback
176,68,Male,City_B,Product_3,696.18,2023-01-29,5,Bronze,12,1549.59,Online Transfer,Online Ad,2022-12-14,Inquiry
177,39,Male,City_A,Product_3,434.56,2023-05-18,5,Silver,8,442.74,Online Transfer,In-Store,2022-10-01,Feedback
178,45,Male,City_A,Product_1,114.92,2022-11-05,2,Gold,8,1936.08,Credit Card,In-Store,2022-10-20,Complaint
179,19,Female,City_C,Product_5,402.83,2022-11-10,2,Gold,17,4135.06,Cash,Online Ad,2023-04-12,Feedback
180,59,Male,City_A,Product_1,390.39,2023-08-08,2,Bronze,18,8778.23,Credit Card,In-Store,2023-02-28,Complaint
181,62,Female,City_D,Product_2,706.1,2022-10-06,4,Bronze,13,1467.56,Online Transfer,Referral,2022-10-10,Inquiry
182,23,Male,City_D,Product_4,819.04,2023-02-24,3,Silver,15,2009.24,Online Transfer,In-Store,2023-04-16,Inquiry
183,45,Female,City_B,Product_2,426.21,2022-12-01,5,Silver,10,4790.25,Online Transfer,Online Ad,2022-12-21,Complaint
184,45,Male,City_C,Product_2,663.43,2023-07-30,1,Gold,12,1100.51,Cash,In-Store,2023-03-26,Feedback
185,61,Female,City_C,Product_3,660.69,2023-06-12,4,Gold,6,2505.65,Online Transfer,Referral,2023-03-08,Complaint
186,61,Male,City_A,Product_5,665.75,2023-02-04,3,Bronze,9,3807.17,Cash,In-Store,2022-09-09,Complaint
187,37,Female,City_E,Product_4,576.59,2023-03-04,4,Bronze,17,2534.91,Online Transfer,Referral,2023-07-20,Complaint
188,47,Male,City_E,Product_1,647.76,2023-04-08,3,Silver,2,425.58,Credit Card,In-Store,2023-04-13,Complaint
189,28,Male,City_E,Product_4,874.3,2023-07-10,2,Silver,11,5063.54,Cash,In-Store,2022-08-31,Feedback
190,45,Female,City_B,Product_1,925.74,2023-04-07,1,Silver,9,3030.71,Cash,In-Store,2022-10-16,Complaint
191,42,Female,City_C,Product_1,137.21,2022-10-22,2,Bronze,6,2569.15,Credit Card,Online Ad,2023-03-31,Complaint
192,56,Male,City_A,Product_5,61.16,2023-06-29,5,Silver,2,838.42,Online Transfer,Online Ad,2023-01-18,Feedback
193,50,Female,City_B,Product_2,542.97,2023-06-26,5,Bronze,19,5360.41,Cash,Online Ad,2023-03-26,Complaint
194,18,Female,City_D,Product_1,442.17,2022-12-03,5,Bronze,15,1182.71,Credit Card,Referral,2023-08-06,Feedback
195,44,Male,City_D,Product_5,478.61,2023-07-04,5,Silver,8,2340.94,Online Transfer,Referral,2022-11-10,Feedback
196,69,Female,City_D,Product_2,485.58,2022-11-09,4,Bronze,3,187.38,Cash,Online Ad,2023-04-13,Inquiry
197,30,Male,City_C,Product_2,900.43,2023-06-05,1,Bronze,14,2758.87,Online Transfer,Online Ad,2023-07-19,Inquiry
198,58,Female,City_D,Product_4,654.8,2023-06-04,1,Bronze,14,1503.55,Credit Card,Online Ad,2023-04-17,Inquiry
199,20,Male,City_E,Product_4,470.22,2022-09-05,5,Silver,10,2392.19,Cash,In-Store,2022-12-21,Feedback
200,56,Female,City_D,Product_4,482.04,2022-12-08,3,Bronze,7,642.53,Online Transfer,Online Ad,2023-04-08,Complaint
201,23,Male,City_B,Product_3,852.28,2022-10-31,2,Bronze,18,4153.8,Credit Card,Referral,2023-01-17,Feedback
202,25,Male,City_D,Product_2,256.2,2023-05-16,5,Silver,9,586.89,Online Transfer,Referral,2023-08-07,Feedback
203,44,Female,City_E,Product_3,64.01,2023-03-26,3,Bronze,7,1350.07,Cash,In-Store,2022-12-31,Feedback
204,26,Female,City_D,Product_4,504.26,2022-11-11,1,Silver,6,1373.73,Online Transfer,Referral,2023-07-15,Inquiry
205,54,Male,City_A,Product_5,962.45,2022-10-02,2,Silver,18,2641.05,Cash,Online Ad,2023-07-01,Inquiry
206,50,Male,City_E,Product_4,823.65,2023-01-04,1,Bronze,12,5781.3,Credit Card,Online Ad,2023-03-21,Complaint
207,68,Female,City_C,Product_1,437.98,2023-04-22,1,Bronze,9,1627.07,Online Transfer,Online Ad,2022-11-07,Inquiry
208,59,Female,City_D,Product_5,216.34,2022-11-05,4,Gold,5,1622.36,Online Transfer,In-Store,2022-11-02,Inquiry
209,61,Female,City_B,Product_5,591.63,2022-08-20,2,Gold,17,2985.1,Online Transfer,Online Ad,2023-01-07,Inquiry
210,41,Female,City_D,Product_2,885.72,2023-04-28,4,Bronze,4,1632.35,Online Transfer,In-Store,2023-07-31,Complaint
211,32,Female,City_B,Product_3,731.41,2022-08-08,5,Silver,18,6450.4,Online Transfer,In-Store,2022-11-25,Complaint
212,49,Female,City_A,Product_1,563.19,2023-03-02,2,Silver,4,1616.81,Online Transfer,In-Store,2022-09-15,Complaint
213,49,Male,City_C,Product_5,748.13,2023-01-16,3,Gold,13,1604.61,Credit Card,Online Ad,2023-03-05,Complaint
214,41,Female,City_E,Product_3,966.42,2022-08-30,1,Silver,5,1040.08,Online Transfer,Online Ad,2022-10-05,Feedback
215,58,Female,City_E,Product_3,575.06,2022-09-10,1,Gold,5,705.3,Online Transfer,In-Store,2022-09-03,Inquiry
216,69,Female,City_C,Product_1,577.58,2023-01-29,4,Silver,14,5142.55,Credit Card,Online Ad,2023-07-13,Complaint
217,66,Female,City_A,Product_1,504.67,2022-12-27,4,Bronze,1,355.58,Online Transfer,Online Ad,2022-11-27,Feedback
